source_ip,destination_ip,source_port,destination_port,protocol,packet_size,packet_count,flow_duration,tcp_flags,connection_frequency,connection_density,reputation_score,label,attack_category
192.168.1.84,203.0.113.24,47480,443,UDP,1117,18,5.5525,,2.0,1.0,13,0,Normal
192.168.1.92,203.0.113.6,46850,53,TCP,833,5,1.2816,A,1.0,2.0,3,0,Normal
192.168.1.77,203.0.113.6,11915,443,TCP,960,9,8.6988,A,2.0,1.0,13,0,Normal
203.0.113.195,192.168.1.20,33476,22,TCP,130,22,2.187,PA,85.0,1.0,89,1,Brute Force
192.168.1.99,198.51.100.42,48206,8080,TCP,174,5,1.0942,PA,23.0,1.0,99,1,Botnet
192.0.2.89,192.168.1.10,63413,3451,TCP,64,2,0.0928,S,418.0,58.0,55,1,Port Scan
192.0.2.89,192.168.1.10,35389,7709,TCP,64,1,0.0993,S,52.0,69.0,72,1,Port Scan
192.0.2.89,192.168.1.10,13323,1002,TCP,64,3,0.0474,S,130.0,54.0,61,1,Port Scan
192.168.1.15,203.0.113.21,42727,80,TCP,526,20,3.4561,A,1.0,2.0,8,0,Normal
203.0.113.195,192.168.1.50,19648,80,TCP,89,2586,0.2085,S,356.0,1.0,88,1,DDoS
192.168.1.55,203.0.113.16,48908,443,TCP,637,9,1.7915,A,10.0,1.0,4,0,Normal
203.0.113.195,192.168.1.20,53248,22,TCP,249,40,1.8372,PA,30.0,1.0,87,1,Brute Force
203.0.113.22,192.168.1.15,15208,80,TCP,2118,10,2.7399,PA,2.0,1.0,14,1,SQL Injection
192.168.1.99,203.0.113.13,34559,80,TCP,964,28,4.2598,A,8.0,3.0,9,0,Normal
192.0.2.89,192.168.1.10,33816,7774,TCP,64,2,0.0319,S,317.0,70.0,66,1,Port Scan
192.0.2.89,192.168.1.10,6148,9184,TCP,64,2,0.0495,S,453.0,66.0,71,1,Port Scan
192.168.1.100,185.156.177.5,8904,443,TCP,1438,487,47.391,A,3.0,1.0,96,1,Malware
192.168.1.83,203.0.113.43,28816,443,TCP,1327,9,5.6023,A,4.0,4.0,11,0,Normal
203.0.113.195,192.168.1.20,12755,3389,TCP,207,10,2.3138,PA,146.0,1.0,91,1,Brute Force
198.51.100.42,192.168.1.50,61042,80,TCP,125,2752,0.6576,S,912.0,1.0,93,1,DDoS
192.168.1.60,203.0.113.24,18992,443,TCP,181,23,9.7117,A,1.0,4.0,14,0,Normal
192.168.1.74,203.0.113.46,33156,443,TCP,1033,8,7.5019,A,9.0,1.0,1,0,Normal
192.168.1.51,203.0.113.39,25241,443,UDP,1319,3,8.9437,,3.0,2.0,4,0,Normal
192.168.1.22,203.0.113.18,6451,443,UDP,308,16,0.5699,,1.0,3.0,3,0,Normal
192.168.1.19,203.0.113.88,57246,80,TCP,544,10,1.3027,PA,7.0,1.0,65,1,Phishing
192.168.1.40,203.0.113.6,60381,443,UDP,814,21,5.1682,,7.0,4.0,1,0,Normal
203.0.113.47,192.168.1.15,5280,80,TCP,1982,12,1.1888,PA,3.0,1.0,32,1,SQL Injection
203.0.113.24,192.168.1.15,34150,80,TCP,3236,13,0.7943,PA,5.0,1.0,28,1,SQL Injection
192.168.1.80,203.0.113.38,55819,443,TCP,240,25,5.6662,A,8.0,1.0,3,0,Normal
192.168.1.10,203.0.113.19,61186,443,UDP,437,5,7.2982,,3.0,3.0,0,0,Normal
192.168.1.97,203.0.113.4,51271,22,UDP,85,8,2.1831,,6.0,4.0,2,0,Normal
192.168.1.39,203.0.113.33,58512,80,UDP,569,26,3.0847,,4.0,2.0,9,0,Normal
198.51.100.42,192.168.1.50,4519,80,TCP,92,3891,1.2694,S,479.0,1.0,91,1,DDoS
203.0.113.195,192.168.1.20,12631,3389,TCP,221,21,2.3954,PA,112.0,1.0,94,1,Brute Force
192.168.1.44,203.0.113.43,55386,443,UDP,1471,23,8.319,,1.0,5.0,12,0,Normal
192.168.1.51,203.0.113.28,11228,443,TCP,1228,20,2.1145,A,7.0,3.0,9,0,Normal
192.168.1.99,198.51.100.42,14619,8080,TCP,297,8,0.5004,PA,23.0,1.0,97,1,Botnet
192.168.1.99,198.51.100.42,18118,8080,TCP,250,7,0.7137,PA,46.0,1.0,96,1,Botnet
203.0.113.195,192.168.1.50,44166,80,TCP,117,1800,0.7657,S,544.0,1.0,88,1,DDoS
192.168.1.31,203.0.113.34,13286,80,TCP,691,14,1.6358,A,9.0,2.0,0,0,Normal
203.0.113.195,192.168.1.20,29794,3389,TCP,190,25,2.0103,PA,77.0,1.0,90,1,Brute Force
192.168.1.100,185.156.177.5,32648,443,TCP,1418,265,47.574,A,5.0,1.0,91,1,Malware
192.168.1.57,203.0.113.47,39891,80,TCP,399,3,5.1269,A,5.0,5.0,6,0,Normal
192.168.1.46,203.0.113.39,63381,443,TCP,349,21,1.3076,A,6.0,1.0,2,0,Normal
203.0.113.195,192.168.1.20,21292,3389,TCP,128,24,3.6344,PA,55.0,1.0,85,1,Brute Force
192.168.1.29,203.0.113.18,20768,22,TCP,228,12,1.8541,A,4.0,4.0,2,0,Normal
192.168.1.46,203.0.113.4,48480,80,TCP,379,10,6.8503,A,6.0,1.0,15,0,Normal
192.168.1.99,198.51.100.42,11465,8080,TCP,196,9,1.6796,PA,25.0,1.0,91,1,Botnet
192.168.1.44,203.0.113.39,26424,443,UDP,715,7,7.6328,,3.0,4.0,10,0,Normal
192.168.1.69,203.0.113.47,59876,443,ICMP,1445,12,7.3064,,7.0,5.0,12,0,Normal
192.0.2.89,192.168.1.46,36027,0,ICMP,32,1,0.0191,,53.0,42.0,40,1,Reconnaissance
198.51.100.42,192.168.1.50,41038,80,TCP,69,2039,0.3957,S,645.0,1.0,87,1,DDoS
192.168.1.69,203.0.113.6,23279,443,TCP,1403,15,1.807,A,3.0,3.0,9,0,Normal
192.168.1.67,203.0.113.14,26374,443,ICMP,1048,24,0.3579,,7.0,2.0,5,0,Normal
192.168.1.45,203.0.113.48,27121,80,TCP,1123,24,8.344,A,8.0,1.0,11,0,Normal
192.168.1.85,203.0.113.16,45985,80,UDP,271,26,6.5621,,7.0,1.0,5,0,Normal
203.0.113.195,192.168.1.20,21931,3389,TCP,230,30,2.6898,PA,36.0,1.0,89,1,Brute Force
192.168.1.24,203.0.113.4,28875,443,TCP,1362,11,1.1684,A,8.0,5.0,11,0,Normal
192.168.1.43,203.0.113.46,52207,443,TCP,750,18,8.4432,A,6.0,1.0,5,0,Normal
203.0.113.195,192.168.1.20,65297,22,TCP,194,20,1.7905,PA,134.0,1.0,94,1,Brute Force
192.168.1.37,203.0.113.31,29524,80,TCP,1015,4,2.8243,A,2.0,4.0,14,0,Normal
192.0.2.89,192.168.1.197,25082,0,ICMP,32,1,0.0276,,32.0,28.0,62,1,Reconnaissance
192.168.1.73,203.0.113.31,28356,443,TCP,978,3,3.2531,A,1.0,5.0,3,0,Normal
203.0.113.195,192.168.1.20,24436,3389,TCP,152,12,1.5042,PA,48.0,1.0,95,1,Brute Force
192.168.1.82,203.0.113.2,29276,443,TCP,771,11,9.7188,A,10.0,2.0,14,0,Normal
192.168.1.34,203.0.113.3,3687,53,TCP,732,5,3.7342,A,3.0,5.0,3,0,Normal
192.168.1.99,198.51.100.42,26053,8080,TCP,147,4,1.9057,PA,26.0,1.0,100,1,Botnet
192.168.1.25,203.0.113.88,49696,80,TCP,515,9,0.8683,PA,5.0,1.0,61,1,Phishing
192.168.1.99,198.51.100.42,25549,8080,TCP,228,6,1.3757,PA,48.0,1.0,96,1,Botnet
192.168.1.28,203.0.113.47,60645,53,UDP,1452,8,2.8563,,1.0,4.0,6,0,Normal
192.168.1.29,203.0.113.21,2250,80,TCP,912,28,6.5756,A,5.0,3.0,14,0,Normal
203.0.113.195,192.168.1.50,40285,80,TCP,92,3159,0.1892,S,494.0,1.0,99,1,DDoS
192.168.1.70,203.0.113.6,39553,443,TCP,1364,16,5.9564,A,9.0,4.0,15,0,Normal
192.168.1.26,203.0.113.19,61964,53,TCP,89,20,3.4361,A,6.0,3.0,14,0,Normal
192.0.2.89,192.168.1.10,10970,6602,TCP,64,1,0.0664,S,342.0,55.0,70,1,Port Scan
192.168.1.35,203.0.113.22,32909,443,UDP,771,20,0.8401,,9.0,3.0,9,0,Normal
203.0.113.13,192.168.1.15,20148,80,TCP,4195,14,0.9168,PA,4.0,1.0,28,1,SQL Injection
192.168.1.86,203.0.113.35,29304,80,TCP,111,16,7.5164,A,5.0,5.0,15,0,Normal
192.168.1.81,203.0.113.41,16406,443,UDP,1164,15,1.3257,,10.0,1.0,3,0,Normal
192.168.1.37,203.0.113.37,26959,443,TCP,496,9,9.9214,A,10.0,3.0,5,0,Normal
192.0.2.89,192.168.1.10,57705,9819,TCP,64,2,0.0326,S,235.0,90.0,53,1,Port Scan
192.168.1.100,185.156.177.5,44555,443,TCP,1406,165,32.2158,A,4.0,1.0,89,1,Malware
203.0.113.195,192.168.1.50,55165,80,TCP,106,527,1.1681,S,871.0,1.0,90,1,DDoS
192.168.1.51,203.0.113.18,45808,22,UDP,849,6,5.8058,,7.0,4.0,13,0,Normal
192.168.1.17,203.0.113.31,13402,80,TCP,123,23,6.1926,A,3.0,5.0,2,0,Normal
192.0.2.89,192.168.1.10,40317,2728,TCP,64,3,0.0629,S,400.0,55.0,80,1,Port Scan
203.0.113.195,192.168.1.20,25291,22,TCP,169,37,2.8311,PA,122.0,1.0,87,1,Brute Force
192.168.1.100,185.156.177.5,12506,443,TCP,1495,155,30.3649,A,2.0,1.0,95,1,Malware
192.168.1.100,185.156.177.5,40558,443,TCP,1369,461,52.9647,A,2.0,1.0,88,1,Malware
192.168.1.20,203.0.113.13,31315,22,UDP,207,26,0.0788,,1.0,4.0,15,0,Normal
203.0.113.195,192.168.1.50,57527,80,TCP,67,4875,0.7139,S,943.0,1.0,86,1,DDoS
198.51.100.42,192.168.1.50,20223,80,TCP,120,4690,0.7,S,327.0,1.0,88,1,DDoS
192.168.1.19,203.0.113.22,10591,443,TCP,601,30,7.5818,A,10.0,1.0,5,0,Normal
192.168.1.93,203.0.113.15,25040,443,TCP,1408,16,3.4049,A,4.0,4.0,6,0,Normal
203.0.113.195,192.168.1.50,18358,80,TCP,97,2504,0.5794,S,905.0,1.0,99,1,DDoS
192.0.2.89,192.168.1.10,22694,2295,TCP,64,1,0.0527,S,63.0,64.0,78,1,Port Scan
203.0.113.49,192.168.1.15,25328,80,TCP,3601,12,2.1832,PA,3.0,1.0,33,1,SQL Injection
192.168.1.24,203.0.113.18,53793,8080,TCP,327,25,1.4738,A,5.0,4.0,8,0,Normal
192.168.1.54,203.0.113.15,42754,22,TCP,121,10,8.5107,A,10.0,3.0,4,0,Normal
192.168.1.55,203.0.113.44,39312,443,TCP,595,3,3.648,A,9.0,5.0,12,0,Normal
192.168.1.63,203.0.113.24,32282,22,UDP,412,22,9.7243,,3.0,5.0,10,0,Normal
192.168.1.81,203.0.113.25,35321,443,TCP,838,14,8.6554,A,8.0,2.0,15,0,Normal
203.0.113.195,192.168.1.20,12518,3389,TCP,180,19,1.8972,PA,65.0,1.0,83,1,Brute Force
192.168.1.24,203.0.113.1,43622,53,TCP,794,9,4.9929,A,10.0,1.0,7,0,Normal
192.168.1.91,203.0.113.47,49610,53,TCP,808,9,6.6458,A,7.0,1.0,10,0,Normal
198.51.100.42,192.168.1.50,34278,80,TCP,121,958,0.8934,S,453.0,1.0,92,1,DDoS
192.168.1.66,203.0.113.29,17805,443,UDP,438,28,6.9001,,4.0,2.0,14,0,Normal
192.168.1.39,203.0.113.20,12652,80,UDP,1311,4,2.665,,5.0,1.0,6,0,Normal
192.168.1.35,203.0.113.2,49083,80,TCP,194,29,9.0623,A,3.0,5.0,9,0,Normal
192.168.1.99,198.51.100.42,5012,8080,TCP,237,4,1.7751,PA,13.0,1.0,95,1,Botnet
192.168.1.74,203.0.113.18,52798,80,UDP,213,23,1.9723,,2.0,4.0,2,0,Normal
192.168.1.53,203.0.113.88,32221,80,TCP,491,9,0.2125,PA,8.0,1.0,63,1,Phishing
192.0.2.89,192.168.1.105,48208,555,UDP,64,2,0.0319,,52.0,42.0,70,1,Reconnaissance
203.0.113.195,192.168.1.50,34722,80,TCP,128,2755,0.5323,S,650.0,1.0,88,1,DDoS
192.168.1.21,203.0.113.21,65067,443,TCP,437,27,4.8809,A,6.0,5.0,15,0,Normal
192.168.1.71,203.0.113.25,33515,80,TCP,430,8,0.6649,A,7.0,3.0,3,0,Normal
192.168.1.99,198.51.100.42,61664,8080,TCP,127,10,1.5494,PA,23.0,1.0,94,1,Botnet
192.168.1.28,203.0.113.23,33908,443,UDP,719,12,7.6665,,8.0,1.0,9,0,Normal
192.168.1.11,203.0.113.14,61812,22,TCP,494,22,5.7144,A,3.0,3.0,5,0,Normal
198.51.100.42,192.168.1.50,13600,80,TCP,124,3167,1.0149,S,626.0,1.0,93,1,DDoS
192.168.1.99,198.51.100.42,16013,8080,TCP,185,6,1.4807,PA,30.0,1.0,97,1,Botnet
192.168.1.96,203.0.113.49,21210,80,TCP,1217,16,3.9415,A,7.0,1.0,12,0,Normal
192.168.1.74,203.0.113.4,4648,8080,TCP,788,16,6.4615,A,3.0,4.0,8,0,Normal
198.51.100.42,192.168.1.50,2300,80,TCP,105,693,0.6985,S,591.0,1.0,95,1,DDoS
192.168.1.75,203.0.113.19,37597,443,TCP,472,20,7.9768,A,10.0,5.0,14,0,Normal
192.168.1.24,203.0.113.10,57149,443,TCP,282,11,0.7535,A,3.0,3.0,15,0,Normal
192.168.1.37,203.0.113.1,62725,53,TCP,1278,26,4.704,A,1.0,4.0,15,0,Normal
192.168.1.91,203.0.113.47,17397,443,TCP,1306,11,5.8653,A,1.0,1.0,1,0,Normal
192.168.1.62,203.0.113.14,42942,80,UDP,629,13,5.3836,,8.0,3.0,3,0,Normal
192.168.1.67,203.0.113.88,31946,80,TCP,353,14,0.9463,PA,10.0,1.0,62,1,Phishing
198.51.100.42,192.168.1.50,29745,80,TCP,81,679,1.1809,S,269.0,1.0,95,1,DDoS
192.168.1.100,185.156.177.5,63755,443,TCP,1439,214,17.5225,A,3.0,1.0,90,1,Malware
192.168.1.32,203.0.113.45,14064,80,TCP,594,24,2.561,A,1.0,2.0,3,0,Normal
192.168.1.67,203.0.113.26,43113,22,TCP,939,16,3.9691,A,8.0,1.0,1,0,Normal
192.168.1.71,203.0.113.43,60857,80,TCP,828,19,0.1719,A,7.0,1.0,10,0,Normal
192.0.2.89,192.168.1.10,52806,9262,TCP,64,1,0.0974,S,449.0,57.0,67,1,Port Scan
192.0.2.89,192.168.1.10,11393,9995,TCP,64,3,0.0993,S,434.0,54.0,74,1,Port Scan
203.0.113.195,192.168.1.50,45847,80,TCP,107,1988,0.7357,S,999.0,1.0,98,1,DDoS
192.168.1.15,203.0.113.45,59311,443,TCP,886,3,5.7516,A,1.0,5.0,12,0,Normal
192.168.1.37,203.0.113.31,2260,443,TCP,525,3,3.2306,A,3.0,3.0,7,0,Normal
192.168.1.28,203.0.113.43,39321,443,UDP,732,24,5.3283,,4.0,5.0,11,0,Normal
192.168.1.93,203.0.113.34,59563,80,UDP,1245,25,1.5345,,3.0,2.0,9,0,Normal
192.168.1.60,203.0.113.9,12924,443,UDP,117,6,5.3389,,1.0,2.0,11,0,Normal
203.0.113.195,192.168.1.50,63588,80,TCP,84,2981,0.694,S,477.0,1.0,92,1,DDoS
192.168.1.28,203.0.113.21,62385,22,TCP,791,9,0.2827,A,8.0,1.0,12,0,Normal
192.0.2.89,192.168.1.10,2690,3255,TCP,64,1,0.0773,S,352.0,57.0,52,1,Port Scan
192.0.2.89,192.168.1.10,64544,3435,TCP,64,1,0.0941,S,429.0,88.0,61,1,Port Scan
192.168.1.83,203.0.113.25,50155,443,UDP,914,13,1.9179,,2.0,5.0,11,0,Normal
192.168.1.100,185.156.177.5,32348,443,TCP,1415,244,27.017,A,1.0,1.0,90,1,Malware
192.168.1.100,45.227.254.3,24642,443,TCP,1399,383,53.1768,A,1.0,1.0,89,1,Malware
203.0.113.38,192.168.1.15,48840,80,TCP,3924,7,0.8894,PA,7.0,1.0,25,1,SQL Injection
192.168.1.87,203.0.113.88,50981,80,TCP,412,14,1.2702,PA,8.0,1.0,65,1,Phishing
192.168.1.100,45.227.254.3,12469,443,TCP,1283,452,6.6489,A,2.0,1.0,89,1,Malware
192.168.1.32,203.0.113.48,27477,53,UDP,828,23,9.0907,,5.0,5.0,10,0,Normal
192.168.1.36,203.0.113.11,2890,443,UDP,116,28,3.3225,,8.0,1.0,4,0,Normal
192.168.1.56,203.0.113.15,60896,80,TCP,159,16,5.3994,A,10.0,5.0,5,0,Normal
192.168.1.95,203.0.113.28,11389,443,TCP,94,6,3.4932,A,4.0,1.0,13,0,Normal
192.0.2.89,192.168.1.155,5370,2,UDP,64,2,0.0243,,42.0,18.0,60,1,Reconnaissance
198.51.100.42,192.168.1.50,44040,80,TCP,80,2107,0.407,S,332.0,1.0,89,1,DDoS
192.168.1.64,203.0.113.14,15805,443,TCP,232,24,7.4344,A,7.0,3.0,3,0,Normal
198.51.100.42,192.168.1.50,17393,80,TCP,98,4759,1.1639,S,334.0,1.0,95,1,DDoS
203.0.113.195,192.168.1.50,28681,80,TCP,87,2121,0.1201,S,849.0,1.0,86,1,DDoS
192.168.1.59,203.0.113.46,55771,443,TCP,551,28,1.6272,A,6.0,1.0,15,0,Normal
192.168.1.100,185.156.177.5,32733,443,TCP,1432,159,39.1722,A,5.0,1.0,92,1,Malware
192.0.2.89,192.168.1.10,8745,3053,TCP,64,2,0.0348,S,496.0,81.0,74,1,Port Scan
198.51.100.42,192.168.1.50,36996,80,TCP,110,1017,0.6971,S,226.0,1.0,89,1,DDoS
192.168.1.78,203.0.113.36,7222,443,TCP,1000,10,8.3025,A,2.0,5.0,9,0,Normal
192.168.1.83,203.0.113.17,9301,80,TCP,775,30,3.0772,A,7.0,5.0,2,0,Normal
192.168.1.42,203.0.113.38,64350,443,TCP,1097,30,1.8343,A,9.0,2.0,4,0,Normal
192.168.1.50,203.0.113.30,56075,22,TCP,518,24,7.7614,A,4.0,3.0,4,0,Normal
203.0.113.195,192.168.1.20,37913,3389,TCP,170,32,2.4979,PA,42.0,1.0,85,1,Brute Force
192.0.2.89,192.168.1.10,42633,3313,TCP,64,2,0.0058,S,255.0,68.0,62,1,Port Scan
192.168.1.69,203.0.113.43,60069,80,ICMP,926,19,8.9385,,8.0,3.0,4,0,Normal
192.168.1.69,203.0.113.46,48311,80,TCP,64,12,0.758,A,9.0,3.0,6,0,Normal
192.168.1.29,203.0.113.3,61517,80,UDP,1319,26,5.9439,,2.0,1.0,13,0,Normal
192.168.1.99,198.51.100.42,10218,8080,TCP,207,9,0.8429,PA,22.0,1.0,93,1,Botnet
192.168.1.29,203.0.113.38,55702,80,UDP,208,14,2.2708,,5.0,2.0,12,0,Normal
203.0.113.195,192.168.1.50,9115,80,TCP,99,1666,1.1648,S,211.0,1.0,88,1,DDoS
203.0.113.30,192.168.1.15,35143,80,TCP,3595,15,1.2471,PA,2.0,1.0,27,1,SQL Injection
203.0.113.195,192.168.1.20,49711,3389,TCP,193,22,1.4514,PA,89.0,1.0,93,1,Brute Force
198.51.100.42,192.168.1.50,39361,80,TCP,77,4783,0.224,S,949.0,1.0,96,1,DDoS
192.168.1.98,203.0.113.31,16837,80,TCP,1425,30,4.9504,A,7.0,4.0,1,0,Normal
192.168.1.26,203.0.113.45,42839,22,TCP,637,6,8.4248,A,5.0,3.0,10,0,Normal
192.168.1.52,203.0.113.48,28525,443,TCP,578,24,9.831,A,2.0,1.0,3,0,Normal
192.168.1.89,203.0.113.88,47757,80,TCP,336,15,0.3352,PA,9.0,1.0,77,1,Phishing
192.0.2.89,192.168.1.152,40780,0,ICMP,32,1,0.0292,,25.0,25.0,63,1,Reconnaissance
192.168.1.99,198.51.100.42,39042,8080,TCP,212,9,1.7192,PA,46.0,1.0,98,1,Botnet
198.51.100.42,192.168.1.50,3466,80,TCP,67,1980,0.9827,S,536.0,1.0,88,1,DDoS
192.168.1.25,203.0.113.2,20178,80,TCP,122,16,7.2933,A,5.0,3.0,11,0,Normal
192.168.1.86,203.0.113.17,24117,443,TCP,630,10,4.4656,A,1.0,3.0,14,0,Normal
192.168.1.28,203.0.113.7,46840,443,TCP,602,23,7.6884,A,3.0,2.0,10,0,Normal
192.168.1.91,203.0.113.23,49566,80,TCP,777,15,7.8119,A,3.0,4.0,2,0,Normal
198.51.100.42,192.168.1.50,22897,80,TCP,75,1329,0.9952,S,520.0,1.0,100,1,DDoS
192.168.1.57,203.0.113.46,42932,443,TCP,847,8,2.0295,A,8.0,3.0,10,0,Normal
192.168.1.28,203.0.113.17,53839,80,TCP,804,17,7.5502,A,3.0,3.0,0,0,Normal
203.0.113.31,192.168.1.15,8329,80,TCP,4004,13,0.9448,PA,6.0,1.0,32,1,SQL Injection
192.168.1.68,203.0.113.36,6000,443,TCP,255,9,0.9145,A,10.0,4.0,8,0,Normal
192.168.1.48,203.0.113.26,10576,80,TCP,760,25,5.3329,A,7.0,2.0,12,0,Normal
192.168.1.92,203.0.113.21,7815,443,TCP,665,30,6.1381,A,2.0,3.0,7,0,Normal
192.168.1.99,198.51.100.42,30026,8080,TCP,157,7,1.6832,PA,24.0,1.0,93,1,Botnet
192.168.1.99,198.51.100.42,58376,8080,TCP,162,6,1.9327,PA,49.0,1.0,97,1,Botnet
192.168.1.65,203.0.113.23,55938,80,UDP,912,17,5.5677,,10.0,2.0,13,0,Normal
192.168.1.68,203.0.113.44,13217,80,TCP,1126,30,5.8131,A,10.0,4.0,8,0,Normal
203.0.113.195,192.168.1.20,47341,3389,TCP,188,21,2.2806,PA,75.0,1.0,82,1,Brute Force
192.168.1.23,203.0.113.27,63813,80,TCP,339,25,3.2234,A,4.0,5.0,4,0,Normal
192.168.1.30,203.0.113.88,7356,80,TCP,316,14,1.1361,PA,12.0,1.0,77,1,Phishing
203.0.113.195,192.168.1.20,54834,22,TCP,239,25,1.2586,PA,51.0,1.0,80,1,Brute Force
203.0.113.46,192.168.1.15,37721,80,TCP,3251,6,0.6635,PA,7.0,1.0,18,1,SQL Injection
192.168.1.23,203.0.113.44,38363,53,TCP,120,11,7.139,A,8.0,4.0,4,0,Normal
192.168.1.64,203.0.113.38,26992,22,TCP,1419,9,4.5266,A,9.0,3.0,10,0,Normal
192.168.1.99,198.51.100.42,16265,8080,TCP,101,10,1.9447,PA,13.0,1.0,95,1,Botnet
192.168.1.61,203.0.113.10,39522,443,TCP,209,6,6.1424,A,9.0,4.0,5,0,Normal
192.168.1.68,203.0.113.34,49032,80,TCP,573,9,9.798,A,3.0,2.0,0,0,Normal
192.0.2.89,192.168.1.10,43583,6678,TCP,64,2,0.0699,S,120.0,71.0,55,1,Port Scan
203.0.113.24,192.168.1.15,7306,80,TCP,2555,6,1.1513,PA,3.0,1.0,17,1,SQL Injection
203.0.113.195,192.168.1.20,24040,3389,TCP,143,10,4.928,PA,37.0,1.0,91,1,Brute Force
192.168.1.81,203.0.113.15,7282,22,TCP,67,8,9.6364,A,9.0,1.0,0,0,Normal
192.168.1.78,203.0.113.38,22445,80,UDP,691,15,0.2863,,10.0,5.0,11,0,Normal
198.51.100.42,192.168.1.50,57342,80,TCP,91,4884,1.4661,S,299.0,1.0,89,1,DDoS
192.168.1.100,185.156.177.5,40327,443,TCP,1427,466,6.6688,A,1.0,1.0,99,1,Malware
203.0.113.195,192.168.1.20,36255,3389,TCP,174,21,3.3604,PA,51.0,1.0,83,1,Brute Force
192.168.1.97,203.0.113.14,33638,443,TCP,1299,9,1.561,A,10.0,3.0,14,0,Normal
192.0.2.89,192.168.1.10,61881,5544,TCP,64,1,0.0372,S,172.0,81.0,56,1,Port Scan
192.168.1.98,203.0.113.47,53063,443,TCP,149,15,3.5896,A,8.0,5.0,3,0,Normal
192.168.1.94,203.0.113.39,56583,443,TCP,250,19,6.6385,A,6.0,5.0,12,0,Normal
192.168.1.34,203.0.113.25,50629,22,UDP,1381,20,2.0173,,6.0,2.0,14,0,Normal
203.0.113.25,192.168.1.15,51062,80,TCP,2137,11,1.7262,PA,5.0,1.0,13,1,SQL Injection
192.168.1.60,203.0.113.18,22094,443,UDP,1055,20,6.1005,,5.0,4.0,9,0,Normal
192.168.1.46,203.0.113.45,51541,443,TCP,1495,24,0.5606,A,1.0,2.0,2,0,Normal
192.168.1.99,198.51.100.42,21151,8080,TCP,177,4,0.8313,PA,32.0,1.0,98,1,Botnet
192.0.2.89,192.168.1.10,4460,8336,TCP,64,2,0.0684,S,72.0,63.0,53,1,Port Scan
192.168.1.41,203.0.113.38,30989,53,UDP,517,8,7.127,,2.0,2.0,15,0,Normal
192.0.2.89,192.168.1.10,14572,1906,TCP,64,2,0.0015,S,173.0,92.0,76,1,Port Scan
192.168.1.99,198.51.100.42,61005,8080,TCP,202,10,0.185,PA,19.0,1.0,99,1,Botnet
192.168.1.100,185.156.177.5,17157,443,TCP,1339,154,27.5062,A,1.0,1.0,91,1,Malware
192.168.1.54,203.0.113.8,54996,443,TCP,836,16,2.7881,A,4.0,4.0,8,0,Normal
192.168.1.85,203.0.113.6,40354,443,UDP,1347,3,6.9283,,1.0,4.0,4,0,Normal
192.168.1.74,203.0.113.88,44471,80,TCP,234,12,0.4384,PA,7.0,1.0,65,1,Phishing
192.0.2.89,192.168.1.146,62857,536,UDP,64,1,0.0383,,60.0,22.0,45,1,Reconnaissance
192.168.1.42,203.0.113.47,37380,443,TCP,1083,30,2.0159,A,9.0,1.0,15,0,Normal
192.168.1.89,203.0.113.47,32403,80,TCP,292,6,2.2942,A,7.0,2.0,2,0,Normal
192.168.1.72,203.0.113.48,50997,443,TCP,202,25,2.4251,A,10.0,3.0,14,0,Normal
192.168.1.100,185.156.177.5,49412,443,TCP,1307,443,44.8701,A,1.0,1.0,94,1,Malware
192.168.1.22,203.0.113.8,1955,8080,UDP,763,7,8.5963,,5.0,2.0,11,0,Normal
192.168.1.99,198.51.100.42,31303,8080,TCP,116,8,0.5279,PA,50.0,1.0,93,1,Botnet
198.51.100.42,192.168.1.50,23036,80,TCP,100,4829,0.8796,S,346.0,1.0,95,1,DDoS
198.51.100.42,192.168.1.50,4740,80,TCP,105,1891,0.6185,S,346.0,1.0,88,1,DDoS
198.51.100.42,192.168.1.50,45871,80,TCP,92,1480,1.167,S,236.0,1.0,87,1,DDoS
192.168.1.64,203.0.113.37,2321,443,TCP,1039,23,9.3727,A,7.0,3.0,12,0,Normal
192.168.1.58,203.0.113.9,30493,443,TCP,550,26,6.832,A,10.0,3.0,11,0,Normal
192.168.1.99,198.51.100.42,65257,8080,TCP,136,5,0.645,PA,21.0,1.0,96,1,Botnet
203.0.113.195,192.168.1.20,17880,22,TCP,245,11,2.6415,PA,142.0,1.0,87,1,Brute Force
192.168.1.97,203.0.113.5,27384,80,TCP,1347,7,3.5359,A,7.0,4.0,13,0,Normal
192.168.1.28,203.0.113.16,31208,443,TCP,990,26,4.4445,A,7.0,4.0,11,0,Normal
192.0.2.89,192.168.1.10,23162,3555,TCP,64,3,0.0199,S,149.0,96.0,71,1,Port Scan
192.168.1.91,203.0.113.36,52412,8080,TCP,808,22,9.0045,A,9.0,4.0,11,0,Normal
198.51.100.42,192.168.1.50,43229,80,TCP,116,2960,0.1712,S,422.0,1.0,95,1,DDoS
192.168.1.100,45.227.254.3,37179,443,TCP,1212,276,43.1683,A,4.0,1.0,94,1,Malware
192.168.1.69,203.0.113.38,44736,443,UDP,623,8,9.8365,,10.0,2.0,12,0,Normal
192.168.1.99,198.51.100.42,38711,8080,TCP,289,10,0.3481,PA,41.0,1.0,95,1,Botnet
203.0.113.195,192.168.1.50,41024,80,TCP,66,1202,0.1121,S,254.0,1.0,95,1,DDoS
